Federal funds rate projection (%),FOMC meeting,Year
2.875,Dec 2025,2028
2.750,Dec 2025,2028
2.625,Dec 2025,2028
2.625,Dec 2025,2028
2.625,Dec 2025,2028
3.875,Dec 2025,Longer run
3.750,Dec 2025,Longer run
3.625,Dec 2025,Longer run
3.500,Dec 2025,Longer run
3.375,Dec 2025,Longer run
3.375,Dec 2025,Longer run
3.250,Dec 2025,Longer run
3.125,Dec 2025,Longer run
3.125,Dec 2025,Longer run
3.000,Dec 2025,Longer run
3.000,Dec 2025,Longer run
3.000,Dec 2025,Longer run
3.000,Dec 2025,Longer run
3.000,Dec 2025,Longer run
2.875,Dec 2025,Longer run
2.750,Dec 2025,Longer run
2.625,Dec 2025,Longer run
2.625,Dec 2025,Longer run
2.625,Dec 2025,Longer run
3.875,Mar 2026,Longer run
3.750,Mar 2026,Longer run
3.625,Mar 2026,Longer run
3.500,Mar 2026,Longer run
3.375,Mar 2026,Longer run
3.375,Mar 2026,Longer run
3.250,Mar 2026,Longer run
3.125,Mar 2026,Longer run
3.125,Mar 2026,Longer run
3.125,Mar 2026,Longer run
3.000,Mar 2026,Longer run
3.000,Mar 2026,Longer run
3.000,Mar 2026,Longer run
3.000,Mar 2026,Longer run
3.000,Mar 2026,Longer run
2.875,Mar 2026,Longer run
2.875,Mar 2026,Longer run
2.625,Mar 2026,Longer run
2.625,Mar 2026,Longer run
3.875,Jun 2026,Longer run
3.750,Jun 2026,Longer run
3.625,Jun 2026,Longer run
3.500,Jun 2026,Longer run
3.375,Jun 2026,Longer run
3.375,Jun 2026,Longer run
3.250,Jun 2026,Longer run
3.125,Jun 2026,Longer run
3.125,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
3.000,Jun 2026,Longer run
2.875,Jun 2026,Longer run
2.875,Jun 2026,Longer run
3.875,Sep 2026,Longer run
3.875,Sep 2026,Longer run
3.750,Sep 2026,Longer run
3.625,Sep 2026,Longer run
3.625,Sep 2026,Longer run
3.500,Sep 2026,Longer run
3.500,Sep 2026,Longer run
3.375,Sep 2026,Longer run
3.250,Sep 2026,Longer run
3.250,Sep 2026,Longer run
3.125,Sep 2026,Longer run
3.000,Sep 2026,Longer run
3.000,Sep 2026,Longer run
3.000,Sep 2026,Longer run
3.000,Sep 2026,Longer run
3.000,Sep 2026,Longer run
3.000,Sep 2026,Longer run
2.875,Sep 2026,Longer run
